"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"XBZAPQFK","blogPost","2020","Kokotajlo, Daniel","Three kinds of competitiveness","AI Impacts","","","","https://aiimpacts.org/three-kinds-of-competitiveness/","By Daniel Kokotajlo In this post, I distinguish between three different kinds of competitiveness -- Performance, Cost, and Date -- and explain why I think these distinctions are worth the brainspace they occupy. For example, they help me introduce and discuss a problem for AI safety proposals having to do with aligned AIs being outcompeted...","2020-03-30","2022-01-30 01:53:10","2022-01-30 01:53:10","2021-11-20 18:55:39","","","","","","","","","","","","","","en-US","","","","","","","ZSCC: NoCitationData[s0]  ACC: N/A  Section: Blog","","/Users/jacquesthibodeau/Zotero/storage/PU9A2KS8/three-kinds-of-competitiveness.html","","UnsortedSafety","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HX9UZ5JP","journalArticle","2020","Cihon, Peter; Maas, Matthijs M.; Kemp, Luke","Fragmentation and the Future: Investigating Architectures for International AI Governance","Global Policy","","1758-5899","10.1111/1758-5899.12890","https://onlinelibrary.wiley.com/doi/abs/10.1111/1758-5899.12890","The international governance of artificial intelligence (AI) is at a crossroads: should it remain fragmented or be centralised? We draw on the history of environment, trade, and security regimes to identify advantages and disadvantages in centralising AI governance. Some considerations, such as efficiency and political power, speak for centralisation. The risk of creating a slow and brittle institution, and the difficulty of pairing deep rules with adequate participation, speak against it. Other considerations depend on the specific design. A centralised body may be able to deter forum shopping and ensure policy coordination. However, forum shopping can be beneficial, and fragmented institutions could self-organise. In sum, these trade-offs should inform development of the AI governance architecture, which is only now emerging. We apply the trade-offs to the case of the potential development of high-level machine intelligence. We conclude with two recommendations. First, the outcome will depend on the exact design of a central institution. A well-designed centralised regime covering a set of coherent issues could be beneficial. But locking-in an inadequate structure may pose a fate worse than fragmentation. Second, fragmentation will likely persist for now. The developing landscape should be monitored to see if it is self-organising or simply inadequate.","2020","2022-01-30 04:47:43","2022-01-30 04:47:43","2021-11-13 15:58:24","545-556","","5","11","","","Fragmentation and the Future","","","","","","","en","","","","","Wiley Online Library","","ZSCC: 0000010  _eprint: https://onlinelibrary.wiley.com/doi/pdf/10.1111/1758-5899.12890","","/Users/jacquesthibodeau/Zotero/storage/2TZBI3FR/Cihon et al. - 2020 - Fragmentation and the Future Investigating Archit.pdf","","UnsortedSafety","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BQCZM53S","blogPost","2021","Clarke, Sam; Martin, Samuel Dylan","Distinguishing AI takeover scenarios","AI Alignment Forum","","","","https://www.alignmentforum.org/posts/qYzqDtoQaZ3eDDyxa/distinguishing-ai-takeover-scenarios","Epistemic status: lots of this involves interpreting/categorising other people’s scenarios, and could be wrong. We’d really appreciate being corrected if so. [ETA: so far, no corrections.] TLDR: see the summary table. In the last few years, people have proposed various AI takeover scenarios. We think this type of scenario building is great, since there are now more concrete ideas of what AI takeover could realistically look like. That said, we have been confused for a while about how the different scenarios relate to each other and what different assumptions they make. This post might be helpful for anyone who has similar confusions. We focus on explaining the differences between seven prominent scenarios: the  ‘Brain-in-a-box’ scenario, ‘What failure looks like’ part 1 (WFLL 1), ‘What failure looks like’ part 2 (WFLL 2), ‘Another (outer) alignment failure story’  (AAFS), ‘Production Web’, ‘Flash economy’ and ‘Soft takeoff leading to decisive strategic advantage’. While these scenarios do not capture alI of the risks from transformative AI, participants in a recent survey aimed at leading AI safety/governance researchers estimated the first three of these scenarios to cover 50% of existential catastrophes from AI.[1] We plan to follow up with a subsequent post, which discusses some of the issues raised here in greater depth. VARIABLES RELATING TO AI TAKEOVER SCENARIOS We define AI takeover to be a scenario where the most consequential decisions about the future get made by AI systems with goals that aren’t desirable by human standards. There are three variables which are sufficient to distinguish the takeover scenarios discussed in this post. We will briefly introduce these three variables, and a number of others that are generally useful for thinking about takeover scenarios. Key variables for distinguishing the AI takeover scenarios in this post:  * Speed. Is there a sudden jump in AI capabilities over a very short period    (i.e. much faster than what we","2021-09-08","2022-01-30 04:47:42","2022-01-30 04:47:42","2021-11-18 23:45:23","","","","","","","","","","","","","","","","","","","","","ZSCC: NoCitationData[s0]  ACC: N/A","","/Users/jacquesthibodeau/Zotero/storage/ENAMQXCU/distinguishing-ai-takeover-scenarios.html","","UnsortedSafety","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JVMJ4RMM","journalArticle","2020","Stray, Jonathan","Aligning AI Optimization to Community Well-Being","International Journal of Community Well-Being","","2524-5295, 2524-5309","10.1007/s42413-020-00086-3","http://link.springer.com/10.1007/s42413-020-00086-3","","2020-12","2022-01-30 04:47:36","2022-01-30 04:47:36","2021-11-13 22:47:54","443-463","","4","3","","Int. Journal of Com. WB","","","","","","","","en","","","","","DOI.org (Crossref)","","ZSCC: 0000010","","/Users/jacquesthibodeau/Zotero/storage/V3BEV7X4/Stray - 2020 - Aligning AI Optimization to Community Well-Being.pdf","","UnsortedSafety","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W8F6VI9I","thesis","2020","Shah, Rohin Monish","Extracting and Using Preference Information from the State of the World","","","","","https://www.proquest.com/openview/da8bf63ef343781a5bb552122be1bd6a/1?pq-origsite=gscholar&cbl=18750&diss=y","Typically when learning about what people want and don’t want, we look to human action as evidence: what reward they specify, how they perform a task, or what preferences they express can all provide useful information about what an agent should do. This is essential in order to build AI systems that do what we intend them to do. However, existing methods require a lot of expensive human feedback in order to learn even simple tasks. This dissertation argues that there is an additional source of information that is rather helpful: the state of the world. The key insight of this dissertation is that when a robot is deployed in an envi- ronment that humans have been acting in, the state of the environment is already optimized for what humans want, and is thus informative about human preferences. We formalize this setting by assuming that a human H has been acting in an environment for some time, and a robot R observes the final state produced. From this final state, R must infer as much as possible about H’s reward function. We analyze this problem formulation theoretically and show that it is particularly well suited to inferring aspects of the state that should not be changed – exactly the aspects of the reward that H is likely to forget to specify. We develop an algorithm using dynamic programming for tabular environments, analogously to value iteration, and demonstrate its behavior on several simple environments. To scale to high-dimensional environments, we use function approximators judiciously to allow the various parts of our algorithm to be trained without needing to enumerate all possible states. Of course, there is no point in learning about H’s reward function unless we use it to guide R’s decision-making. While we could have R simply optimize the inferred reward, this suffers from a “status quo bias”: the inferred reward is likely to strongly prefer the observed state, since by assumption it is already optimized for H’s preferences. To get R to make changes to 2 the environment, we will usually need to integrate the inferred reward with other sources of preference information. In order to support such reward combination, we use a model in which R must maximize an unknown reward function known only to H. Learning from the state of the world arises as an instrumentally useful behavior in such a setting, and can serve to form a prior belief over the reward function that can then be updated after further interaction with H","2020-12-17","2022-01-30 04:47:35","2022-01-30 04:47:35","","","24","","","","","","","","","","University of California, Berkeley","Berkeley, CA","en","","","","","Zotero","","ZSCC: 0000000","","/Users/jacquesthibodeau/Zotero/storage/S96M3KTK/Shah - Extracting and Using Preference Information from t.pdf","","UnsortedSafety","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IWUNUHTA","conferencePaper","2020","Yang, Zitong; Yu, Yaodong; You, Chong; Steinhardt, Jacob; Ma, Yi","Rethinking Bias-Variance Trade-off for Generalization of Neural Networks","Proceedings of the 37th International Conference on Machine Learning","","","","http://arxiv.org/abs/2002.11328","The classical bias-variance trade-off predicts that bias decreases and variance increase with model complexity, leading to a U-shaped risk curve. Recent work calls this into question for neural networks and other over-parameterized models, for which it is often observed that larger models generalize better. We provide a simple explanation for this by measuring the bias and variance of neural networks: while the bias is monotonically decreasing as in the classical theory, the variance is unimodal or bell-shaped: it increases then decreases with the width of the network. We vary the network architecture, loss function, and choice of dataset and confirm that variance unimodality occurs robustly for all models we considered. The risk curve is the sum of the bias and variance curves and displays different qualitative shapes depending on the relative scale of bias and variance, with the double descent curve observed in recent literature as a special case. We corroborate these empirical results with a theoretical analysis of two-layer linear networks with random first layer. Finally, evaluation on out-of-distribution data shows that most of the drop in accuracy comes from increased bias while variance increases by a relatively small amount. Moreover, we find that deeper models decrease bias and increase variance for both in-distribution and out-of-distribution data.","2020-12-07","2022-01-30 04:47:35","2022-01-30 04:47:35","2021-11-13 14:19:28","","","","","","","","","","","","","","","","","","","arXiv.org","","ZSCC: 0000061  arXiv: 2002.11328","","/Users/jacquesthibodeau/Zotero/storage/7J95438X/Yang et al. - 2020 - Rethinking Bias-Variance Trade-off for Generalizat.pdf","","UnsortedSafety","Computer Science - Machine Learning; Statistics - Machine Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ICML 2020","","","","","","","","","","","","","","",""
"TIBNQTSX","conferencePaper","2020","Matheos, George; Lew, Alexander K.; Ghavamizadeh, Matin; Russell, Stuart; Cusumano-Towner, Marco; Mansinghka, Vikash","Transforming Worlds: Automated Involutive MCMC for Open-Universe Probabilistic Models","","","","","https://openreview.net/forum?id=8Itm8dQnJRc","Inference in open-universe probabilistic models can be challenging.  We show how to automate a broad class of MCMC kernels for them, facilitating the development of domain-specific algorithms for...","2020-11-23","2022-01-30 04:47:35","2022-01-30 04:47:35","2021-10-30 21:42:12","","","","","","","Transforming Worlds","","","","","","","en","","","","","openreview.net","","ZSCC: 0000000","","/Users/jacquesthibodeau/Zotero/storage/4QSFBCAS/forum.html","","UnsortedSafety","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Third Symposium on Advances in Approximate Bayesian Inference","","","","","","","","","","","","","","",""
"RQWBFZ9W","conferencePaper","2020","Dathathri, Sumanth; Dvijotham, Krishnamurthy; Kurakin, Alexey; Raghunathan, Aditi; Uesato, Jonathan; Bunel, Rudy; Shankar, Shreya; Steinhardt, Jacob; Goodfellow, Ian; Liang, Percy; Kohli, Pushmeet","Enabling certification of verification-agnostic networks via memory-efficient semidefinite programming","arXiv:2010.11645 [cs]","","","","http://arxiv.org/abs/2010.11645","Convex relaxations have emerged as a promising approach for verifying desirable properties of neural networks like robustness to adversarial perturbations. Widely used Linear Programming (LP) relaxations only work well when networks are trained to facilitate verification. This precludes applications that involve verification-agnostic networks, i.e., networks not specially trained for verification. On the other hand, semidefinite programming (SDP) relaxations have successfully be applied to verification-agnostic networks, but do not currently scale beyond small networks due to poor time and space asymptotics. In this work, we propose a first-order dual SDP algorithm that (1) requires memory only linear in the total number of network activations, (2) only requires a fixed number of forward/backward passes through the network per iteration. By exploiting iterative eigenvector methods, we express all solver operations in terms of forward and backward passes through the network, enabling efficient use of hardware like GPUs/TPUs. For two verification-agnostic networks on MNIST and CIFAR-10, we significantly improve L-inf verified robust accuracy from 1% to 88% and 6% to 40% respectively. We also demonstrate tight verification of a quadratic stability specification for the decoder of a variational autoencoder.","2020-11-03","2022-01-30 04:47:35","2022-01-30 04:47:35","2021-10-31 19:04:24","","","","","","","","","","","","","","","","","","","arXiv.org","","ZSCC: NoCitationData[s1]  ACC: 24  arXiv: 2010.11645","","/Users/jacquesthibodeau/Zotero/storage/TFVBZFJ6/Dathathri et al. - 2020 - Enabling certification of verification-agnostic ne.pdf; /Users/jacquesthibodeau/Zotero/storage/SQ7TS9GM/2010.html; /Users/jacquesthibodeau/Zotero/storage/VMH5N4E5/2010.html","","UnsortedSafety","Computer Science - Machine Learning; Computer Science - Artificial Intelligence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34th Conference on Neural Information Processing Systems (NeurIPS 2020),","","","","","","","","","","","","","","",""
"IK3Q65C6","conferencePaper","2020","Li, Alexander C.; Pinto, Lerrel; Abbeel, Pieter","Generalized Hindsight for Reinforcement Learning","34th Conference on Neural Information Processing Systems (NeurIPS 2020),","","","","http://arxiv.org/abs/2002.11708","One of the key reasons for the high sample complexity in reinforcement learning (RL) is the inability to transfer knowledge from one task to another. In standard multi-task RL settings, low-reward data collected while trying to solve one task provides little to no signal for solving that particular task and is hence effectively wasted. However, we argue that this data, which is uninformative for one task, is likely a rich source of information for other tasks. To leverage this insight and efficiently reuse data, we present Generalized Hindsight: an approximate inverse reinforcement learning technique for relabeling behaviors with the right tasks. Intuitively, given a behavior generated under one task, Generalized Hindsight returns a different task that the behavior is better suited for. Then, the behavior is relabeled with this new task before being used by an off-policy RL optimizer. Compared to standard relabeling techniques, Generalized Hindsight provides a substantially more efficient reuse of samples, which we empirically demonstrate on a suite of multi-task navigation and manipulation tasks. Videos and code can be accessed here: https://sites.google.com/view/generalized-hindsight.","2020-02-26","2022-01-30 04:47:35","2022-01-30 04:47:35","2021-11-07 18:21:08","","","","","","","","","","","","","","","","","","","arXiv.org","","ZSCC: 0000016  arXiv: 2002.11708","","/Users/jacquesthibodeau/Zotero/storage/9T8PK9IJ/Li et al. - 2020 - Generalized Hindsight for Reinforcement Learning.pdf; /Users/jacquesthibodeau/Zotero/storage/KRXF5ZMV/2002.html","","UnsortedSafety","Computer Science - Machine Learning; Statistics - Machine Learning; Computer Science - Artificial Intelligence; Computer Science - Neural and Evolutionary Computing; Computer Science - Robotics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34th Conference on Neural Information Processing Systems (NeurIPS 2020),","","","","","","","","","","","","","","",""
"GZB84KMR","conferencePaper","2020","Richardson, Oliver; Halpern, Joseph Y.","Probabilistic Dependency Graphs","arXiv:2012.10800 [cs, math]","","","","http://arxiv.org/abs/2012.10800","We introduce Probabilistic Dependency Graphs (PDGs), a new class of directed graphical models. PDGs can capture inconsistent beliefs in a natural way and are more modular than Bayesian Networks (BNs), in that they make it easier to incorporate new information and restructure the representation. We show by example how PDGs are an especially natural modeling tool. We provide three semantics for PDGs, each of which can be derived from a scoring function (on joint distributions over the variables in the network) that can be viewed as representing a distribution's incompatibility with the PDG. For the PDG corresponding to a BN, this function is uniquely minimized by the distribution the BN represents, showing that PDG semantics extend BN semantics. We show further that factor graphs and their exponential families can also be faithfully represented as PDGs, while there are significant barriers to modeling a PDG with a factor graph.","2020-12-19","2022-01-30 04:47:35","2022-01-30 04:47:35","2021-10-30 21:44:21","","","","","","","","","","","","","","","","","","","arXiv.org","","ZSCC: NoCitationData[s0]  ACC: 0  arXiv: 2012.10800","","/Users/jacquesthibodeau/Zotero/storage/CBQAK6J6/Richardson and Halpern - 2020 - Probabilistic Dependency Graphs.pdf; /Users/jacquesthibodeau/Zotero/storage/MPAXVG7Q/2012.html","","UnsortedSafety","Computer Science - Artificial Intelligence; Computer Science - Information Theory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AAAI 2020","","","","","","","","","","","","","","",""
